are_excommunicated_by	animations/Stand/Emotions/Negative/Exhausted_1	animations/Stand/Emotions/Negative/Exhausted_1
excommunicate		
are_defrocked_by	animations/Stand/Emotions/Negative/Exhausted_1	animations/Stand/Emotions/Negative/Exhausted_1
reject	animations/Stand/Gestures/WhatSThis_16	animations/Stand/Gestures/WhatSThis_16
are_intrigued_by		
leave_behind	animations/Stand/Emotions/Positive/Peaceful_1	animations/Stand/Emotions/Positive/Peaceful_1
are_drilled_by	animations/Stand/Emotions/Positive/Enthusiastic_1, animations/Stand/Waiting/Fitness_2	animations/Stand/Emotions/Positive/Enthusiastic_1, animations/Stand/Waiting/Fitness_2
agree_with	animations/Stand/Emotions/Positive/Confident_1, animations/Stand/Emotions/Positive/Optimistic_1, animations/Stand/Gestures/Yes_1, animations/Stand/Gestures/Yes_2, animations/Stand/Gestures/Yes_3, animations/Stand/Gestures/Thinking_1, animations/Stand/Gestures/Great_1	animations/Stand/Emotions/Positive/Confident_1, animations/Stand/Emotions/Positive/Optimistic_1, animations/Stand/Gestures/Yes_1, animations/Stand/Gestures/Yes_2, animations/Stand/Gestures/Yes_3, animations/Stand/Gestures/Thinking_1, animations/Stand/Gestures/Great_1
encourage	animations/Stand/Emotions/Positive/Hysterical_1	animations/Stand/Emotions/Positive/Hysterical_1
are_encouraged_by		
sweat_for		
are_saved_by		
save		
rescue		
are_rescued_by		
are_helped_by		
help		
joke_about		
promote		
are_promoted_by		
are_entertained_by		
entertain	animations/Stand/Emotions/Positive/Hysterical_1	animations/Stand/Emotions/Positive/Hysterical_1
popularize		
are_popularized_by		
lead_astray		
